NES,SNES,N64,Gamecube,Wii,DS,3DS,Switch,Xbox,X360,PS1,PS2,PS4,PC
Duck Hunt,Madden NFL 94,,Mario Party 5,Mario Kart Wii,Pokemon Black,,Mario Kart Deluxe,Bloodrayne,007 Quantum of Solace,007 The World is Not Enough,,,Age of Empires II
,Super Mario All Stars,,,Super Smash Bros. Brawl,,,,Call of Duty: Finest Hour,Army of Two,Army Men 3D,,,Arma 2
,Pinball Behind the Mask (SNES),,,Wii Play,,,,Destroy All Humans,Assassin's Creed,Gran Turismo,,,Awesomenauts
,,,,Wii Sports,,,,Doom 3,Assassin's Creed Brotherhood,IHRA Drag Racing,,,Cities: Skylines
,,,,,,,,Halo,Assassin's Creed II,Independence Day,,,Company of Heroes
,,,,,,,,Halo 2,Assassin's Creed Revelations,Medal of Honor Underground,,,Diablo 3
,,,,,,,,Hitman 2,Battlefield Bad Company,Star Wars Episode 1 Jedi Power Battles,,,DLC Quest
,,,,,,,,Madden 2005,Brothers in Arms: Hell's Highway,Syphon Filter 2,,,Game Dev Tycoon
,,,,,,,,MVP Baseball 2004,Brutal Legend,Tony Hawk's Pro Skater 2,,,Half-Life
,,,,,,,,NBA Live 2005,Burnout Paradise,WCW Nitro,,,Half-Life 2
,,,,,,,,NCAA Football 2005 / Topspin,Call of Duty 4 Modern Warfare,,,,Hearthstone
,,,,,,,,Need for Speed Underground,Call of Duty World at War,,,,Orcs Must Die!
,,,,,,,,Need for Speed Underground 2,Crackdown 2,,,,Orcs Must Die! 2
,,,,,,,,Need for Speend Most Wanted,Fable II,,,,Overwatch
,,,,,,,,Star Wars Battlefront II,Fallout 3,,,,PlanetSide 2
,,,,,,,,The Elder Scrolls III: Morrowind,Fallout New Vegas,,,,Rome Total War
,,,,,,,,The Simpsons Hit & Run,Fight Night Round 4,,,,Saints Row IV
,,,,,,,,Tom Clancy's Ghost Recon,Forza Motorsports 2,,,,Saints Row: The Third
,,,,,,,,Tom Clancy's Rainbow Six 3 Black Arrow,Forza Motorsports 3,,,,South Park: The Stick of Truth
,,,,,,,,Tony Hawk's Pro Skater 4,Frontlines Fuel of War,,,,Starcraft 2
,,,,,,,,Tony Hawk's Underground 2,Gears of War 2,,,,Team Fortress 2
,,,,,,,,,Gears of War 3,,,,TrackMania Nations Forever
,,,,,,,,,Grand Theft Auto IV,,,,Unreal Tournament 3: Black Edition
,,,,,,,,,Guitar Hero II,,,,World of Goo
,,,,,,,,,Halo 3,,,,World of Warcraft
,,,,,,,,,Halo 3 ODST,,,,
,,,,,,,,,Halo 4,,,,
,,,,,,,,,Halo Reach,,,,
,,,,,,,,,Halo Wars,,,,
,,,,,,,,,Left 4 Dead,,,,
,,,,,,,,,Left 4 Dead 2,,,,
,,,,,,,,,Marvel Ultimate Alliance,,,,
,,,,,,,,,Mass Effect,,,,
,,,,,,,,,Mercenaries 2 World in Flames,,,,
,,,,,,,,,Need for Speed Most Wanted,,,,
,,,,,,,,,Prototype,,,,
,,,,,,,,,Red Faction Guerrilla,,,,
,,,,,,,,,Rock Band,,,,
,,,,,,,,,Rock Band 2,,,,
,,,,,,,,,Saint's Row,,,,
,,,,,,,,,Saint's Row 2,,,,
,,,,,,,,,Sid Meier's Civilzation Revolution,,,,
,,,,,,,,,The Elder Scrolls IV Oblivion,,,,
,,,,,,,,,The Elder Scrolls V Skyrim,,,,
,,,,,,,,,Tony Hawk's Project 8,,,,
,,,,,,,,,Wolfenstein,,,,
